employee_id,recommended_course,target_skill,cosine_score,importance_score,weighted_score,rank,engine_version
1,C++ Object-Oriented Programming,C++,0.711704671382904,4.218181818181818,0.6935885524749756,1,v3
1,Email Management with Microsoft Outlook,Microsoft Outlook,0.7693076729774475,4.2912772585669785,0.7520521737704767,2,v3
1,Critical Thinking and Analytical Problem Solving,Critical Thinking,0.8358204960823059,3.517912087912088,0.7903257634793326,3,v3
2,Designing High-Impact PowerPoint Presentations,Microsoft PowerPoint,0.6504054069519043,4.3116057233704295,0.6363639810839333,1,v3
2,IBM Notes Collaboration and Email,IBM Notes,0.7330333590507507,3.0,0.677423931812418,2,v3
2,Critical Thinking and Analytical Problem Solving,Critical Thinking,0.8358204960823059,3.517912087912088,0.7903257634793326,3,v3
4,SQL Querying for Beginners,Database software,0.6944124102592468,3.0,0.6417328481016489,1,v3
4,Email Management with Microsoft Outlook,Microsoft Outlook,0.7693076729774475,4.2912772585669785,0.7520521737704767,2,v3
4,Speed Reading and Comprehension,Reading Comprehension,0.7913572788238525,3.4906263736263736,0.7473892405110989,3,v3
5,FileMaker Pro Database Development,FileMaker Pro,0.8307403922080994,3.0,0.7677187072819678,1,v3
5,Professional Document Creation in Microsoft Word,Microsoft Publisher,0.3972012400627136,3.0,0.3670687321958871,2,v3
5,Performance Monitoring and Quality Assurance,Monitoring,0.6809203624725342,3.3096043956043952,0.6379877530688813,3,v3
7,FileMaker Pro Database Development,FileMaker Pro,0.8307403922080994,3.0,0.7677187072819678,1,v3
7,IBM Notes Collaboration and Email,IBM Notes,0.7330333590507507,3.0,0.677423931812418,2,v3
7,Speed Reading and Comprehension,Reading Comprehension,0.7913572788238525,3.4906263736263736,0.7473892405110989,3,v3
8,FileMaker Pro Database Development,FileMaker Pro,0.8307403922080994,3.0,0.7677187072819678,1,v3
8,IBM Notes Collaboration and Email,IBM Notes,0.7330333590507507,3.0,0.677423931812418,2,v3
8,Effective Communication and Active Listening,Active Listening,0.8550388813018799,3.596,0.8112608905792237,3,v3
10,Designing High-Impact PowerPoint Presentations,Microsoft PowerPoint,0.6504054069519043,4.3116057233704295,0.6363639810839333,1,v3
10,Microsoft Office Suite Productivity Boost,Microsoft Office software,0.7261216044425964,4.470012239902081,0.7152051094650734,2,v3
10,Critical Thinking and Analytical Problem Solving,Critical Thinking,0.8358204960823059,3.517912087912088,0.7903257634793326,3,v3
11,FileMaker Pro Database Development,FileMaker Pro,0.8307403922080994,3.0,0.7677187072819678,1,v3
11,Email Management with Microsoft Outlook,Microsoft Outlook,0.7693076729774475,4.2912772585669785,0.7520521737704767,2,v3
11,Critical Thinking and Analytical Problem Solving,Critical Thinking,0.8358204960823059,3.517912087912088,0.7903257634793326,3,v3
12,Enterprise Resource Planning with SAP,SAP software,0.7140014171600342,4.11660777385159,0.6928258420489397,1,v3
